lemma,frequency,hdbscan_cluster,hdbscan_label,leiden_cluster,leiden_label,in_agwn,agwn_semfields,agwn_gloss
μέγας,728,133,Economics (9); Psychology (8); Human Physiology (8),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Animals (Zoology); Chemistry; Color; Eating, drinking; using drugs; Economics; Fashion design of clothing; Food & Drink; Geology, Hydrology & Meteorology; Geometry; Grammar; Human Physiology; Human figures; Institutions pertaining to relations of the sexes; Law; Life Sciences; Biology; Light & Infrared & Ultraviolet Phenomena; Linguistics; Literature; Medicine & Health; Meteorology; Metrology & standardization; Money; Motion pictures, radio, television; Music; Number & quantity; Philosophy & Psychology; Physics; Political Science; Psychology; Sociology & anthropology; Sound & related vibrations; Stage Presentations; Statistical mathematics; Stocks; Time; Transportation; Ground Transportation","more than adequate: ""the home team had a comfortable lead"""
Ἀχαιός,714,116,Psychology (10); Life Sciences; Biology (10); Human figures (10),1,Psychology (29); Life Sciences; Biology (23); Economics (23),True,,
Ὀδυσσεύς,712,131,Psychology (3); Chemistry (2); Astronomy (2),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Architecture; Building & Construction; Human anatomy, cytology & histology; Institutions pertaining to relations of the sexes; Religion; Sociology & anthropology",the state of being honored
Ζεύς,696,-1,(noise),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,Astronomy; Chemistry; Human figures; Number & quantity; Physics,a singular metaphysical entity from which material properties are said to derive
φίλος,676,134,Psychology (6); Religion (6); Medicine & Health (6),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,Athletic & Outdoor Sports & Games; Human Physiology; Human figures; Political Science; Psychology; Religion,"with or in a close or intimate relationship: ""a good friend""; ""my sisters and brothers are near and dear"""
χείρ,635,115,Agriculture (3); Ball games (3); Plants (Botany) (3),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Agriculture; Agriculture & related technologies; Animals (Zoology); Ball games; Building & Construction; Card games; Classical mechanics; solid mechanics; Economics; Fashion design of clothing; Human anatomy, cytology & histology; Human figures; Internal Commerce (Domestic Trade); Linguistics; Literature; Metrology & standardization; Outdoor life; Plants (Botany); Production; Stage Presentations; Water, Air & Space Transportation","a unit of length equal to 4 inches; used in measuring horses: ""the horse stood 20 hands"""
Τρώς,633,116,Psychology (10); Life Sciences; Biology (10); Human figures (10),1,Psychology (29); Life Sciences; Biology (23); Economics (23),True,Geography & Travel,a person who lives in a particular place
υἱός,613,141,Religion (4); Psychology (2); Human Physiology (2),2,Psychology (26); Human Physiology (26); Human figures (21),True,Human figures; Religion,"a member of a clan or tribe: ""the children of Israel"""
εἶπον,560,137,Mathematics (9); Political Science (9); Psychology (8),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,Mathematics; Music; Political Science,"praise or celebrate in song: ""All tongues shall troll you"""
εἶμι,530,-1,(noise),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Animals (Zoology); Arts & Recreation; Astronomy; Athletic & Outdoor Sports & Games; Ball games; Banks and banking; Building & Construction; Card games; Chemistry; Classical mechanics; solid mechanics; Community planning and development; Drawing & Decorative Arts; Eating, drinking; using drugs; Economics; Education; Electricity & electronics; Equestrian Sports & Animal Racing; Fashion design of clothing; Food & Drink; Games Of Chance; Geography & Travel; Geology, Hydrology & Meteorology; Grammar; Higher Education; History & Geography; Human Physiology; Human anatomy, cytology & histology; Human figures; Hunting; Institutions pertaining to relations of the sexes; Internal Commerce (Domestic Trade); Law; Life Sciences; Biology; Light & Infrared & Ultraviolet Phenomena; Linguistics; Literature; Managemennt of personal and family living; grooming; Mathematics; Medicine & Health; Meteorology; Metrology & standardization; Money; Motion pictures, radio, television; Music; News Media, Journalism & Publishing; Number & quantity; Outdoor life; Parapsychology & Occultism; Personal Health & Safety; Pharmacology & therapeutics; Philosophy & Psychology; Physics; Plants (Botany); Political Science; Production; Psychology; Public Administration; Religion; Science; Secondary education; Social, folk, national dancing; Sociology & anthropology; Sound & related vibrations; Sports, Games & Entertainment; Stage Presentations; Surgery & Related Medical Specialties; Textiles; Time; Transportation; Ground Transportation; Water, Air & Space Transportation","conduct an interview in television, newspaper, and radio reporting"
μάλα,530,133,Economics (9); Psychology (8); Human Physiology (8),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,Economics; Human Physiology; Metrology & standardization; Physics; Psychology; Transportation; Ground Transportation,"in one place: ""we were gathered together"""
ἔνθα,501,114,Economics (4); Human Physiology (4); Time (3),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,,"immediately after this: ""hereupon, the passengers stumbled aboard"""
ἔπειτα,496,114,Economics (4); Human Physiology (4); Time (3),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,Economics; Human Physiology; Psychology,"behind or in the rear: ""and Jill came tumbling after"""
δίδωμι,483,17,Stage Presentations (10); Life Sciences; Biology (10); Music (10),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Agriculture; Agriculture & related technologies; Animals (Zoology); Arts & Recreation; Astronomy; Athletic & Outdoor Sports & Games; Ball games; Building & Construction; Card games; Chemistry; Chess; Classical mechanics; solid mechanics; Community planning and development; Dentistry; Drawing & Decorative Arts; Eating, drinking; using drugs; Economics; Education; Electricity & electronics; Engineering; Fashion design of clothing; Fishing; Furniture; Games Of Chance; Games dependent on drawing numbers or counters; Geography & Travel; Higher Education; Hunting; Institutions pertaining to relations of the sexes; Internal Commerce (Domestic Trade); Law; Life Sciences; Biology; Linguistics; Literature; Managemennt of personal and family living; grooming; Mathematics; Medicine & Health; Metrology & standardization; Money; Motion pictures, radio, television; Music; News Media, Journalism & Publishing; Outdoor life; Painting; Philosophy & Psychology; Photography, computer art, cinematography, videography; Plants (Botany); Political Science; Production; Psychology; Public Administration; Religion; Science; Secondary education; Social, folk, national dancing; Sports, Games & Entertainment; Stage Presentations; Stocks; Taxes and taxation; Textiles; Transportation; Ground Transportation; Vehicular transportation; Water, Air & Space Transportation","make tender or more tender: ""tenderize meat"""
βάλλω,469,115,Agriculture (3); Ball games (3); Plants (Botany) (3),3,"Eating, drinking; using drugs (54); Life Sciences; Biology (50); Transportation; Ground Transportation (50)",True,"Agriculture; Agriculture & related technologies; Animals (Zoology); Arts & Recreation; Astronomy; Athletic & Outdoor Sports & Games; Ball games; Building & Construction; Chemistry; Classical mechanics; solid mechanics; Community planning and development; Dentistry; Drawing & Decorative Arts; Eating, drinking; using drugs; Economics; Education; Electricity & electronics; Fashion design of clothing; Games Of Chance; Geography & Travel; History & Geography; Hunting; Institutions pertaining to relations of the sexes; Internal Commerce (Domestic Trade); Law; Life Sciences; Biology; Linguistics; Literature; Managemennt of personal and family living; grooming; Mathematics; Medicine & Health; Money; Motion pictures, radio, television; Music; News Media, Journalism & Publishing; Photography, computer art, cinematography, videography; Plants (Botany); Political Science; Production; Psychology; Public Administration; Religion; Science; Secondary education; Social, folk, national dancing; Sociology & anthropology; Sports, Games & Entertainment; Stage Presentations; Stocks; Taxes and taxation; Textiles; Transportation; Ground Transportation; Water, Air & Space Transportation","transfer to another; of rights or property: ""Our house passed under his official control"""
ἵππος,459,123,Law (7); Athletic & Outdoor Sports & Games (6); Animals (Zoology) (6),4,Human Physiology (27); Athletic & Outdoor Sports & Games (25); Transportation; Ground Transportation (23),True,"Animals (Zoology); Astronomy; Athletic & Outdoor Sports & Games; Chess; Fashion design of clothing; Food & Drink; Heraldry; Home & Family Management; Human Physiology; Human anatomy, cytology & histology; Human figures; Law; Life Sciences; Biology; Medicine & Health; Metrology & standardization; Money; Pharmacology & therapeutics; Plants (Botany); Sociology & anthropology; Time; Transportation; Ground Transportation; Water, Air & Space Transportation",a highly mobile army unit
ἵστημι,454,114,Economics (4); Human Physiology (4); Time (3),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Agriculture; Agriculture & related technologies; Animals (Zoology); Arts & Recreation; Astronomy; Athletic & Outdoor Sports & Games; Ball games; Banks and banking; Building & Construction; Card games; Chemistry; Chess; Classical mechanics; solid mechanics; Community planning and development; Dentistry; Drawing & Decorative Arts; Earth Sciences & Geology; Eating, drinking; using drugs; Economics; Education; Electricity & electronics; Fashion design of clothing; Food & Drink; Games Of Chance; Geography & Travel; Geometry; Grammar; Higher Education; History & Geography; Institutions pertaining to relations of the sexes; Insurance; Internal Commerce (Domestic Trade); Law; Life Sciences; Biology; Linguistics; Literature; Managemennt of personal and family living; grooming; Mathematics; Medicine & Health; Metrology & standardization; Money; Motion pictures, radio, television; Music; News Media, Journalism & Publishing; Outdoor life; Painting; Philosophy & Psychology; Photography, computer art, cinematography, videography; Physics; Plants (Botany); Political Science; Production; Psychology; Public Administration; Religion; Science; Sculpture, Ceramics & Metalwork; Secondary education; Social, folk, national dancing; Sociology & anthropology; Sports, Games & Entertainment; Stage Presentations; Stocks; Surgery & Related Medical Specialties; Taxes and taxation; Transportation; Ground Transportation; Water, Air & Space Transportation","draw air into, and expel out of, the lungs: ""I can breathe better when the air is clean"""
ἔπος,443,108,"Animals (Zoology) (9); Psychology (8); Eating, drinking; using drugs (7)",5,Psychology (38); Economics (30); Animals (Zoology) (29),True,Arts & Recreation; Linguistics; Literature,"a unit of language that native speakers can identify: ""words are the blocks from which sentences are made""; ""he hardly s"
Ἕκτωρ,442,116,Psychology (10); Life Sciences; Biology (10); Human figures (10),1,Psychology (29); Life Sciences; Biology (23); Economics (23),False,,
εἶδον,439,137,Mathematics (9); Political Science (9); Psychology (8),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,,"to become aware of through the senses: ""I could perceive the ship coming over the horizon"""
κακός,437,134,Psychology (6); Religion (6); Medicine & Health (6),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Animals (Zoology); Ball games; Chemistry; Christianity & Christian Theology; Color; Eating, drinking; using drugs; Economics; Food & Drink; Heraldry; Human Physiology; Law; Life Sciences; Biology; Linguistics; Medicine & Health; Meteorology; Metrology & standardization; Music; News Media, Journalism & Publishing; Personal Health & Safety; Plants (Botany); Production; Psychology; Public Finance; Religion; Sociology & anthropology; Sound & related vibrations; Statistical mathematics; Stocks; Time","somewhat ill or prone to illness: ""my poor ailing grandmother""; ""feeling a bit indisposed today""; ""you look a little pea"
ἑταῖρος,434,-1,(noise),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Animals (Zoology); Athletic & Outdoor Sports & Games; Building & Construction; Business enterprises and their structure; Chess; Community planning and development; Eating, drinking; using drugs; Economics; Food & Drink; Furniture; Games Of Chance; Geography & Travel; Higher Education; History & Geography; Human anatomy, cytology & histology; Human figures; Humanities; Institutions pertaining to relations of the sexes; Law; Life Sciences; Biology; Light & Infrared & Ultraviolet Phenomena; Mathematics; Music; Number & quantity; Pharmacology & therapeutics; Plants (Botany); Political Science; Religion; Roman catholic church; Secondary education; Sociology & anthropology; Sports, Games & Entertainment; Water, Air & Space Transportation",the score needed to win a match
αἱρέω,415,115,Agriculture (3); Ball games (3); Plants (Botany) (3),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Agriculture; Agriculture & related technologies; Animals (Zoology); Arts & Recreation; Astronomy; Athletic & Outdoor Sports & Games; Ball games; Banks and banking; Building & Construction; Business enterprises and their structure; Card games; Chemistry; Chess; Classical mechanics; solid mechanics; Community planning and development; Drawing & Decorative Arts; Earth Sciences & Geology; Eating, drinking; using drugs; Economics; Education; Electricity & electronics; Engineering; Fashion design of clothing; Games Of Chance; Geography & Travel; Geometry; Higher Education; History & Geography; Hunting; Institutions pertaining to relations of the sexes; Internal Commerce (Domestic Trade); Law; Life Sciences; Biology; Linguistics; Literature; Managemennt of personal and family living; grooming; Mathematics; Medicine & Health; Metrology & standardization; Money; Motion pictures, radio, television; Music; News Media, Journalism & Publishing; Outdoor life; Parapsychology & Occultism; Philosophy & Psychology; Photography, computer art, cinematography, videography; Physics; Plants (Botany); Political Science; Production; Psychology; Public Administration; Religion; Secondary education; Sociology & anthropology; Stage Presentations; Stocks; Surgery & Related Medical Specialties; Transportation; Ground Transportation; Vehicular transportation",cause a shooting pain
βαίνω,405,171,Classical mechanics; solid mechanics (8); Life Sciences; Biology (8); Production (8),6,Psychology (19); Life Sciences; Biology (19); Athletic & Outdoor Sports & Games (18),True,"Agriculture; Agriculture & related technologies; Animals (Zoology); Arts & Recreation; Astronomy; Athletic & Outdoor Sports & Games; Ball games; Banks and banking; Building & Construction; Card games; Chemistry; Classical mechanics; solid mechanics; Community planning and development; Eating, drinking; using drugs; Economics; Education; Electricity & electronics; Fashion design of clothing; Games Of Chance; Geography & Travel; Higher Education; History & Geography; Institutions pertaining to relations of the sexes; Insurance; Internal Commerce (Domestic Trade); Law; Life Sciences; Biology; Linguistics; Literature; Managemennt of personal and family living; grooming; Mathematics; Medicine & Health; Motion pictures, radio, television; Music; News Media, Journalism & Publishing; Outdoor life; Painting; Philosophy & Psychology; Physics; Plants (Botany); Political Science; Production; Psychology; Public Administration; Religion; Science; Secondary education; Social, folk, national dancing; Sociology & anthropology; Stage Presentations; Transportation; Ground Transportation; Water, Air & Space Transportation","bear fruit, of plants"
δῖος,398,131,Psychology (3); Chemistry (2); Astronomy (2),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,Astronomy; Chemistry; Economics; Geometry; Heraldry; History & Geography; Human Physiology; Human figures; Linguistics; Physics; Psychology; Religion; Religious mythology & social theology,"having or showing a feeling of mixed reverence and respect and wonder and dread: ""stood in awed silence before the shrin"
Ἀχιλλεύς,382,116,Psychology (10); Life Sciences; Biology (10); Human figures (10),1,Psychology (29); Life Sciences; Biology (23); Economics (23),True,Animals (Zoology); Chemistry; Geography & Travel; Human figures; Life Sciences; Biology; Linguistics; Psychology; Public Administration; Sociology & anthropology,the capital of Maldives on Male island in the center of the islands
τίθημι,376,17,Stage Presentations (10); Life Sciences; Biology (10); Music (10),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,Astronomy; Life Sciences; Biology; Managemennt of personal and family living; grooming; Mathematics; Music; Plants (Botany); Stage Presentations; Stocks; Transportation; Ground Transportation,"to arrange for: ""place a phone call"", ""place a bet"""
φέρω,372,17,Stage Presentations (10); Life Sciences; Biology (10); Music (10),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Agriculture; Agriculture & related technologies; Animals (Zoology); Athletic & Outdoor Sports & Games; Ball games; Building & Construction; Business enterprises and their structure; Chemistry; Classical mechanics; solid mechanics; Eating, drinking; using drugs; Economics; Fashion design of clothing; Fishing; Games Of Chance; Games dependent on drawing numbers or counters; Geography & Travel; Higher Education; Hunting; Institutions pertaining to relations of the sexes; Internal Commerce (Domestic Trade); Law; Life Sciences; Biology; Mathematics; Medicine & Health; Metrology & standardization; Motion pictures, radio, television; Music; Photography, computer art, cinematography, videography; Political Science; Production; Psychology; Public Administration; Religion; Secondary education; Stage Presentations; Textiles; Transportation; Ground Transportation; Water, Air & Space Transportation","evoke an emotional response: ""Brahms's ""Requiem"" gets me every time"""
πατήρ,360,134,Psychology (6); Religion (6); Medicine & Health (6),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Animals (Zoology); Arts & Recreation; Athletic & Outdoor Sports & Games; Chemistry; Classical mechanics; solid mechanics; Eating, drinking; using drugs; Electric, electronic, magnetic, communications, computer engineering; lighting; Electricity & electronics; Engineering; Food & Drink; Games Of Chance; Geography & Travel; Geology, Hydrology & Meteorology; Geometry; Heraldry; History & Geography; Human anatomy, cytology & histology; Human figures; Law; Life Sciences; Biology; Literature; Medicine & Health; Metrology & standardization; Music; News Media, Journalism & Publishing; Plants (Botany); Political Science; Production; Public Administration; Religion; Time",an electronic amplification system used for communication in public areas
φρήν,340,-1,(noise),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Arts & Recreation; Drawing & Decorative Arts; Economics; Human anatomy, cytology & histology; Law; Mathematics; Psychology; Religion; Stage Presentations; Transportation; Ground Transportation","a pattern of behavior acquired through frequent repetition: ""she had a habit twirling the ends of her hair""; ""long use h"
γίγνομαι,317,-1,(noise),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Agriculture; Agriculture & related technologies; Animals (Zoology); Arts & Recreation; Astronomy; Athletic & Outdoor Sports & Games; Ball games; Building & Construction; Card games; Chemistry; Classical mechanics; solid mechanics; Community planning and development; Eating, drinking; using drugs; Economics; Games Of Chance; Geography & Travel; Higher Education; History & Geography; Hunting; Institutions pertaining to relations of the sexes; Internal Commerce (Domestic Trade); Law; Life Sciences; Biology; Linguistics; Managemennt of personal and family living; grooming; Mathematics; Medicine & Health; Metrology & standardization; Motion pictures, radio, television; Music; News Media, Journalism & Publishing; Outdoor life; Painting; Photography, computer art, cinematography, videography; Physics; Plants (Botany); Political Science; Production; Psychology; Public Administration; Religion; Science; Secondary education; Social, folk, national dancing; Sociology & anthropology; Stage Presentations; Stocks; Surgery & Related Medical Specialties; Textiles; Transportation; Ground Transportation","have the quality of being; (copula, used with an adjective or a predicate noun); ""John is rich""; ""This is not a good ans"
Ἀθήνη,310,94,Human figures (12); Law (9); Metrology & standardization (8),7,Economics (15); Athletic & Outdoor Sports & Games (14); Life Sciences; Biology (14),True,"Fishing; Human figures; Law; Linguistics; Mathematics; Motion pictures, radio, television; Number & quantity; Political Science; Sociology & anthropology; Stage Presentations","a body of voters who have the same interests: ""he failed to get the Black vote"""
καλός,309,186,"Life Sciences; Biology (5); Chemistry (3); Water, Air & Space Transportation (3)",0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Ball games; Chemistry; Color; Eating, drinking; using drugs; Economics; Food & Drink; Geometry; Human Physiology; Human figures; Institutions pertaining to relations of the sexes; Law; Life Sciences; Biology; Linguistics; Literature; Mathematics; Medicine & Health; Meteorology; Metrology & standardization; Motion pictures, radio, television; News Media, Journalism & Publishing; Number & quantity; Philosophy & Psychology; Physics; Production; Psychology; Religion; Sociology & anthropology; Sound & related vibrations; Statistical mathematics; Time","relating to principles of right and wrong; i.e. to morals or ethics; ""moral philosophy"""
ἄγω,308,17,Stage Presentations (10); Life Sciences; Biology (10); Music (10),0,Economics (54); Psychology (51); Life Sciences; Biology (48),False,,
οἶδα,303,-1,(noise),8,Psychology (31); Human Physiology (23); Medicine & Health (21),True,,
μῦθος,300,137,Mathematics (9); Political Science (9); Psychology (8),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Agriculture; Agriculture & related technologies; Architecture; Arts & Recreation; Ball games; Building & Construction; Business enterprises and their structure; Card games; Chemistry; Classical mechanics; solid mechanics; Community planning and development; Drawing & Decorative Arts; Economics; Education; Electricity & electronics; Engineering; Fashion design of clothing; Games Of Chance; Geography & Travel; Geology, Hydrology & Meteorology; Grammar; Graphic Arts; Printmaking & Prints; Heraldry; History & Geography; Human Physiology; Human anatomy, cytology & histology; Human figures; Institutions pertaining to relations of the sexes; Internal Commerce (Domestic Trade); Law; Life Sciences; Biology; Linguistics; Literature; Managemennt of personal and family living; grooming; Mathematics; Medicine & Health; Mental and emotional illnesses and disturbances; Metrology & standardization; Money; Motion pictures, radio, television; Music; News Media, Journalism & Publishing; Number & quantity; Painting; Personal Health & Safety; Philosophy & Psychology; Photography, computer art, cinematography, videography; Physics; Plants (Botany); Political Science; Production; Psychology; Public Administration; Public Finance; Religion; Religious mythology & social theology; Secondary education; Social, folk, national dancing; Sociology & anthropology; Stage Presentations; Stocks; Time; Transportation; Ground Transportation; Water, Air & Space Transportation","that which has mass and occupies space: ""an atom is the smallest indivisible unit of matter"""
μέγαρον,299,97,Human figures (6); Religion (5); Sociology & anthropology (5),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Animals (Zoology); Archaeology; Architecture; Astrology; Astronomy; Athletic & Outdoor Sports & Games; Ball games; Building & Construction; Business enterprises and their structure; Chess; Community planning and development; Fashion design of clothing; Games Of Chance; Geography & Travel; Geology, Hydrology & Meteorology; Human anatomy, cytology & histology; Human figures; Law; Life Sciences; Biology; Linguistics; Mathematics; Medicine & Health; Physics; Political Science; Production; Religion; Sociology & anthropology; Stage Presentations; Time","a board on which advertisements can be posted: ""the highway was lined with signboards"""
παῖς,296,94,Human figures (12); Law (9); Metrology & standardization (8),9,Psychology (30); Life Sciences; Biology (26); Economics (25),True,"Animals (Zoology); Arts & Recreation; Astronomy; Ball games; Building & Construction; Business enterprises and their structure; Earth Sciences & Geology; Eating, drinking; using drugs; Economics; Electricity & electronics; Fashion design of clothing; Games Of Chance; Geography & Travel; Grammar; Human anatomy, cytology & histology; Human figures; Insects; Institutions pertaining to relations of the sexes; Internal Commerce (Domestic Trade); Law; Life Sciences; Biology; Literature; Managemennt of personal and family living; grooming; Mathematics; Medicine & Health; Metrology & standardization; Money; Motion pictures, radio, television; Music; News Media, Journalism & Publishing; Number & quantity; Photography, computer art, cinematography, videography; Physics; Political Science; Processes, forms & subjects of sculpture; Production; Psychology; Religion; Sociology & anthropology; Stage Presentations; Taxes and taxation; Time; Transportation; Ground Transportation","a numeral or string of numerals that is used for identification: ""she refused to give them her Social Security number"""
